['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_0_y1_19_x2_34_y2_53.png'],(25, 32), prob = 0.99,(38, 43), prob = 0.01
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_100_y1_46_x2_166_y2_112.png'],(8, 12), prob = 0.51,(15, 20), prob = 0.37
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_104_y1_25_x2_157_y2_78.png'],(15, 20), prob = 0.44,(38, 43), prob = 0.43
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_106_y1_25_x2_172_y2_91.png'],(4, 6), prob = 0.38,(15, 20), prob = 0.32
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_122_y1_9_x2_182_y2_69.png'],(15, 20), prob = 0.43,(8, 12), prob = 0.29
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_125_y1_12_x2_256_y2_143.png'],(38, 43), prob = 0.80,(48, 53), prob = 0.10
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_126_y1_41_x2_208_y2_123.png'],(15, 20), prob = 0.49,(25, 32), prob = 0.27
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_130_y1_84_x2_231_y2_185.png'],(60, 100), prob = 0.41,(48, 53), prob = 0.31
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_131_y1_84_x2_354_y2_307.png'],(25, 32), prob = 0.96,(15, 20), prob = 0.03
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_132_y1_67_x2_236_y2_171.png'],(38, 43), prob = 0.64,(25, 32), prob = 0.17
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_136_y1_67_x2_254_y2_185.png'],(15, 20), prob = 0.80,(38, 43), prob = 0.13
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_136_y1_71_x2_234_y2_169.png'],(38, 43), prob = 0.67,(48, 53), prob = 0.15
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_136_y1_80_x2_246_y2_190.png'],(25, 32), prob = 0.51,(38, 43), prob = 0.34
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_144_y1_66_x2_243_y2_165.png'],(38, 43), prob = 0.58,(25, 32), prob = 0.12
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_145_y1_68_x2_245_y2_168.png'],(38, 43), prob = 0.63,(60, 100), prob = 0.18
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_14_y1_185_x2_105_y2_276.png'],(48, 53), prob = 0.43,(60, 100), prob = 0.41
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_166_y1_52_x2_279_y2_165.png'],(8, 12), prob = 0.69,(25, 32), prob = 0.24
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_17_y1_50_x2_172_y2_205.png'],(15, 20), prob = 0.77,(25, 32), prob = 0.20
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_18_y1_27_x2_91_y2_100.png'],(38, 43), prob = 0.69,(25, 32), prob = 0.27
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_203_y1_7_x2_327_y2_131.png'],(25, 32), prob = 0.41,(48, 53), prob = 0.29
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_20_y1_4_x2_53_y2_37.png'],(25, 32), prob = 0.73,(38, 43), prob = 0.17
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_249_y1_42_x2_380_y2_173.png'],(38, 43), prob = 0.59,(15, 20), prob = 0.19
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_256_y1_46_x2_386_y2_176.png'],(8, 12), prob = 0.56,(38, 43), prob = 0.21
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_262_y1_16_x2_416_y2_170.png'],(25, 32), prob = 0.62,(8, 12), prob = 0.26
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_28_y1_15_x2_85_y2_72.png'],(25, 32), prob = 0.62,(48, 53), prob = 0.18
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_296_y1_83_x2_444_y2_231.png'],(15, 20), prob = 0.84,(25, 32), prob = 0.14
['./our_data_for_age_gender_detection/all/face_detected/face_0_at_x1_30_y1_315_x2_124_y2_409.png'],(15, 20), prob = 0.50,(48, 53), prob = 0.13
